TIME: 1698307431926.921875, VX: -0.000138, VY: -0.000076
TIME: 1698307431960.417725, VX: -0.000107, VY: -0.000232
TIME: 1698307431993.855957, VX: -0.000043, VY: -0.000036
TIME: 1698307432093.673828, VX: -0.000068, VY: -0.000074
TIME: 1698307432126.955811, VX: 0.000034, VY: -0.000179
TIME: 1698307432160.477783, VX: 0.000164, VY: -0.000077
TIME: 1698307432193.831787, VX: -0.000037, VY: -0.000116
TIME: 1698307432227.075928, VX: -0.000216, VY: -0.000270
TIME: 1698307432260.281738, VX: -0.000072, VY: -0.000398
TIME: 1698307432293.784912, VX: 0.000108, VY: -0.000224
TIME: 1698307432327.174805, VX: 0.000014, VY: -0.000165
TIME: 1698307432360.292725, VX: 0.000088, VY: -0.000153
TIME: 1698307432393.779785, VX: 0.000157, VY: 0.000125
TIME: 1698307432427.173828, VX: 0.000014, VY: 0.000179
TIME: 1698307432460.322754, VX: -0.000164, VY: 0.000268
TIME: 1698307432493.777832, VX: -0.000127, VY: 0.000264
TIME: 1698307432527.186768, VX: -0.000228, VY: 0.000210
TIME: 1698307432560.285889, VX: -0.000173, VY: 0.000202
TIME: 1698307432593.784912, VX: -0.000149, VY: 0.000143
TIME: 1698307432627.162842, VX: -0.000125, VY: 0.000154
TIME: 1698307432660.289795, VX: -0.000060, VY: 0.000137
TIME: 1698307432693.793945, VX: 0.000038, VY: 0.000162
TIME: 1698307432727.148926, VX: -0.000132, VY: 0.000110
TIME: 1698307432760.456787, VX: -0.000041, VY: 0.000018
TIME: 1698307432793.662842, VX: 0.000101, VY: -0.000008
